Operation_Type,Operation,Input_Shapes,Predicted_result,Kernel_Name,Actual_Duration_us,Error_Percentage
matmul,linear,"[(1152, 384), (384, 896)]",32214,matmul_linear_617,17.4931609,184051.96764125116
matmul,linear,"[(1280, 384), (384, 896)]",34902,matmul_linear_618,18.580419499999998,187742.90634557526
matmul,linear,"[(1408, 384), (384, 896)]",37590,matmul_linear_619,17.147428700000003,219116.5406117128
matmul,linear,"[(1536, 384), (384, 896)]",40278,matmul_linear_620,19.933259,201964.29866786965
matmul,linear,"[(1664, 384), (384, 896)]",42966,matmul_linear_621,20.876276700000002,205712.5623521746
matmul,linear,"[(1792, 384), (384, 896)]",45654,matmul_linear_622,24.0371339,189831.1298507182
matmul,linear,"[(1920, 384), (384, 896)]",48342,matmul_linear_623,22.593553500000002,213863.68658874306
matmul,linear,"[(2048, 384), (384, 896)]",51030,matmul_linear_624,25.624428400000006,199045.90563120614
matmul,linear,"[(128, 384), (384, 1024)]",4218,matmul_linear_625,3.4301518,122868.31877819519
matmul,linear,"[(256, 384), (384, 1024)]",8436,matmul_linear_626,5.7085626000000005,147678.00632334308
matmul,linear,"[(384, 384), (384, 1024)]",12654,matmul_linear_627,6.889848000000001,183561.52635007328
matmul,linear,"[(512, 384), (384, 1024)]",16872,matmul_linear_628,9.372991,179906.5742088091
matmul,linear,"[(640, 384), (384, 1024)]",21090,matmul_linear_629,11.254723199999997,187287.9936913953
matmul,linear,"[(768, 384), (384, 1024)]",25308,matmul_linear_630,12.8851787,196311.71138744082
matmul,linear,"[(896, 384), (384, 1024)]",29526,matmul_linear_631,13.5118662,218419.03773292253
matmul,linear,"[(1024, 384), (384, 1024)]",33744,matmul_linear_632,14.9681252,225339.05498599116
matmul,linear,"[(1152, 384), (384, 1024)]",36816,matmul_linear_633,16.0302857,229565.2766456932
matmul,linear,"[(1280, 384), (384, 1024)]",39888,matmul_linear_634,17.2874731,230633.54775024933
matmul,linear,"[(1408, 384), (384, 1024)]",42960,matmul_linear_635,18.2710268,235026.35863464442
matmul,linear,"[(1536, 384), (384, 1024)]",46032,matmul_linear_636,19.326330300000002,238082.82770423312
matmul,linear,"[(1664, 384), (384, 1024)]",49104,matmul_linear_637,21.7011696,226173.51845589007
matmul,linear,"[(1792, 384), (384, 1024)]",52176,matmul_linear_638,22.679535500000004,229957.6217709573
matmul,linear,"[(1920, 384), (384, 1024)]",55248,matmul_linear_639,23.800223500000005,232032.27388389854
matmul,linear,"[(2048, 384), (384, 1024)]",58320,matmul_linear_640,24.9034199,234084.7032824596
matmul,linear,"[(128, 384), (384, 1152)]",4602,matmul_linear_641,4.0932677,112328.51279919951
matmul,linear,"[(256, 384), (384, 1152)]",9204,matmul_linear_642,6.450571399999999,142585.03407310552
matmul,linear,"[(384, 384), (384, 1152)]",13806,matmul_linear_643,7.7436964,178186.94833645594
matmul,linear,"[(512, 384), (384, 1152)]",18408,matmul_linear_644,9.035857099999998,203621.68125589332
matmul,linear,"[(640, 384), (384, 1152)]",23010,matmul_linear_645,12.7838661,179892.4985134192
matmul,linear,"[(768, 384), (384, 1152)]",27612,matmul_linear_646,13.803419400000001,199937.39073522607
matmul,linear,"[(896, 384), (384, 1152)]",32214,matmul_linear_647,14.969419599999998,215098.72420437733
matmul,linear,"[(1024, 384), (384, 1152)]",36816,matmul_linear_648,16.0614017,229120.3425806852
matmul,linear,"[(1152, 384), (384, 1152)]",41418,matmul_linear_649,18.9031429,219006.4217157243
matmul,linear,"[(1280, 384), (384, 1152)]",44874,matmul_linear_650,22.716553499999996,197438.76836994663
matmul,linear,"[(1408, 384), (384, 1152)]",48330,matmul_linear_651,26.759553699999998,180508.3933305659
matmul,linear,"[(1536, 384), (384, 1152)]",51786,matmul_linear_652,24.777008900000002,208908.27944570823
matmul,linear,"[(1664, 384), (384, 1152)]",55242,matmul_linear_653,28.6888569,192455.5981284148
matmul,linear,"[(1792, 384), (384, 1152)]",58698,matmul_linear_654,29.664151800000003,197775.2010027133
matmul,linear,"[(1920, 384), (384, 1152)]",62154,matmul_linear_655,30.527723,203498.54549256753
matmul,linear,"[(2048, 384), (384, 1152)]",65610,matmul_linear_656,31.780821300000003,206345.26263391436
matmul,linear,"[(128, 384), (384, 1280)]",4986,matmul_linear_657,4.081267899999999,122067.9174748612
matmul,linear,"[(256, 384), (384, 1280)]",9972,matmul_linear_658,7.0611518,141123.41910281547
matmul,linear,"[(384, 384), (384, 1280)]",14958,matmul_linear_659,8.528428400000001,175289.87605266168
matmul,linear,"[(512, 384), (384, 1280)]",19944,matmul_linear_660,12.7599999,156200.94166380048
matmul,linear,"[(640, 384), (384, 1280)]",24930,matmul_linear_661,13.987151799999998,178134.99992328678
matmul,linear,"[(768, 384), (384, 1280)]",29916,matmul_linear_662,15.2461516,196120.00872666124
matmul,linear,"[(896, 384), (384, 1280)]",34902,matmul_linear_663,16.505857,211352.2135990879
matmul,linear,"[(1024, 384), (384, 1280)]",39888,matmul_linear_664,17.6913036,225366.70896541508
matmul,linear,"[(1152, 384), (384, 1280)]",44874,matmul_linear_665,18.937133999999997,236862.9955620529
matmul,linear,"[(1280, 384), (384, 1280)]",49860,matmul_linear_666,21.9661338,226885.7793545808
matmul,linear,"[(1408, 384), (384, 1280)]",53700,matmul_linear_667,23.257964100000002,230788.65288944184
matmul,linear,"[(1536, 384), (384, 1280)]",57540,matmul_linear_668,24.732017899999995,232553.88304607366
matmul,linear,"[(1664, 384), (384, 1280)]",61380,matmul_linear_669,25.7958484,237845.26564204806
matmul,linear,"[(1792, 384), (384, 1280)]",65220,matmul_linear_670,27.1315893,240284.00138984853
matmul,linear,"[(1920, 384), (384, 1280)]",69060,matmul_linear_671,28.3908569,243147.32516263006
matmul,linear,"[(2048, 384), (384, 1280)]",72900,matmul_linear_672,29.765731999999996,244812.50542738207
matmul,linear,"[(128, 384), (384, 1408)]",5370,matmul_linear_673,4.755991,112810.22207569359
matmul,linear,"[(256, 384), (384, 1408)]",10740,matmul_linear_674,7.599714400000001,141221.1001718696
matmul,linear,"[(384, 384), (384, 1408)]",16110,matmul_linear_675,9.1970268,175065.30450906153
matmul,linear,"[(512, 384), (384, 1408)]",21480,matmul_linear_676,13.872732099999999,154736.1191232115
matmul,linear,"[(640, 384), (384, 1408)]",26850,matmul_linear_677,15.193419699999998,176621.2420255856
matmul,linear,"[(768, 384), (384, 1408)]",32220,matmul_linear_678,16.570821700000003,194338.1551097131
matmul,linear,"[(896, 384), (384, 1408)]",37590,matmul_linear_679,18.016169499999997,208545.90555722738
matmul,linear,"[(1024, 384), (384, 1408)]",42960,matmul_linear_680,19.324732,222205.79963541016
matmul,linear,"[(1152, 384), (384, 1408)]",48330,matmul_linear_681,20.6805715,233597.60356961124
matmul,linear,"[(1280, 384), (384, 1408)]",53700,matmul_linear_682,21.9956071,244039.65823202944
matmul,linear,"[(1408, 384), (384, 1408)]",59070,matmul_linear_683,26.5635179,222272.65494115895
matmul,linear,"[(1536, 384), (384, 1408)]",63294,matmul_linear_684,27.9936963,226000.90258069994
matmul,linear,"[(1664, 384), (384, 1408)]",67518,matmul_linear_685,34.44085700000001,195940.41792572115
matmul,linear,"[(1792, 384), (384, 1408)]",71742,matmul_linear_686,35.653259000000006,201121.43672756533
matmul,linear,"[(1920, 384), (384, 1408)]",75966,matmul_linear_687,36.829446499999996,206164.2999535711
matmul,linear,"[(2048, 384), (384, 1408)]",80190,matmul_linear_688,37.8958841,211506.0936549043
matmul,linear,"[(128, 384), (384, 1536)]",5754,matmul_linear_689,4.7991518,119796.18665531688
matmul,linear,"[(256, 384), (384, 1536)]",11508,matmul_linear_690,7.475142699999999,153850.2383011364
matmul,linear,"[(384, 384), (384, 1536)]",17262,matmul_linear_691,9.5992947,179725.71157024693
matmul,linear,"[(512, 384), (384, 1536)]",23016,matmul_linear_692,11.6765714,197012.65586060646
matmul,linear,"[(640, 384), (384, 1536)]",28770,matmul_linear_693,15.4935535,185590.13235085158
matmul,linear,"[(768, 384), (384, 1536)]",34524,matmul_linear_694,17.8828393,192956.591410515
matmul,linear,"[(896, 384), (384, 1536)]",40278,matmul_linear_695,20.287125,198439.71422761973
matmul,linear,"[(1024, 384), (384, 1536)]",46032,matmul_linear_696,22.682589200000002,202839.79489784173
matmul,linear,"[(1152, 384), (384, 1536)]",51786,matmul_linear_697,25.1297322,205974.6194501826
matmul,linear,"[(1280, 384), (384, 1536)]",57540,matmul_linear_698,27.552723399999998,208735.98025739993
matmul,linear,"[(1408, 384), (384, 1536)]",63294,matmul_linear_699,30.011991000000005,210795.7049867168
matmul,linear,"[(1536, 384), (384, 1536)]",69048,matmul_linear_700,28.239009,244412.82975263047
matmul,linear,"[(1664, 384), (384, 1536)]",73656,matmul_linear_701,29.7002768,247897.68869494172
matmul,linear,"[(1792, 384), (384, 1536)]",78264,matmul_linear_702,31.148616100000005,251159.95886539557
matmul,linear,"[(1920, 384), (384, 1536)]",82872,matmul_linear_703,32.6207325,253947.02362217032
matmul,linear,"[(2048, 384), (384, 1536)]",87480,matmul_linear_704,34.0058661,257149.7337452023
matmul,linear,"[(128, 384), (384, 1664)]",6138,matmul_linear_705,5.2731072999999995,116301.95525700758
matmul,linear,"[(256, 384), (384, 1664)]",12276,matmul_linear_706,8.801267699999999,139379.90696840186
matmul,linear,"[(384, 384), (384, 1664)]",18414,matmul_linear_707,10.5464283,174499.39494397357
matmul,linear,"[(512, 384), (384, 1664)]",24552,matmul_linear_708,16.0795714,152590.63701536224
matmul,linear,"[(640, 384), (384, 1664)]",30690,matmul_linear_709,17.6522677,173758.68219073064
matmul,linear,"[(768, 384), (384, 1664)]",36828,matmul_linear_710,19.102741,192689.087178641
matmul,linear,"[(896, 384), (384, 1664)]",42966,matmul_linear_711,20.741107000000003,207053.8418851028
matmul,linear,"[(1024, 384), (384, 1664)]",49104,matmul_linear_712,22.1331607,221757.15210570893
matmul,linear,"[(1152, 384), (384, 1664)]",55242,matmul_linear_713,23.737267700000004,232622.6566181414
matmul,linear,"[(1280, 384), (384, 1664)]",61380,matmul_linear_714,25.3301603,242219.82456107865
matmul,linear,"[(1408, 384), (384, 1664)]",67518,matmul_linear_715,26.8254377,251593.93601357716
matmul,linear,"[(1536, 384), (384, 1664)]",73656,matmul_linear_716,31.8901429,230867.92081166874
matmul,linear,"[(1664, 384), (384, 1664)]",79794,matmul_linear_717,34.22655350000001,233034.7794045345
matmul,linear,"[(1792, 384), (384, 1664)]",84786,matmul_linear_718,35.9854823,235511.68165863372
matmul,linear,"[(1920, 384), (384, 1664)]",89778,matmul_linear_719,39.62629460000001,226461.683110285
matmul,linear,"[(2048, 384), (384, 1664)]",94770,matmul_linear_720,44.1220265,214690.67830214012
matmul,linear,"[(128, 384), (384, 1792)]",6522,matmul_linear_721,5.317446599999999,122552.85372118266
matmul,linear,"[(256, 384), (384, 1792)]",13044,matmul_linear_722,7.701294499999999,169274.12275299954
matmul,linear,"[(384, 384), (384, 1792)]",19566,matmul_linear_723,15.255901900000001,128152.0045570036
matmul,linear,"[(512, 384), (384, 1792)]",26088,matmul_linear_724,17.1949999,151618.52370874397
matmul,linear,"[(640, 384), (384, 1792)]",32610,matmul_linear_725,18.8304377,173077.06852878944
matmul,linear,"[(768, 384), (384, 1792)]",39132,matmul_linear_726,20.4615892,191146.1423084381
matmul,linear,"[(896, 384), (384, 1792)]",45654,matmul_linear_727,22.056553700000002,206886.09864876576
matmul,linear,"[(1024, 384), (384, 1792)]",52176,matmul_linear_728,23.708714399999998,219970.97947073838
matmul,linear,"[(1152, 384), (384, 1792)]",58698,matmul_linear_729,29.624428299999998,198040.53255501983
matmul,linear,"[(1280, 384), (384, 1792)]",65220,matmul_linear_730,27.0868838,240680.74274457514
matmul,linear,"[(1408, 384), (384, 1792)]",71742,matmul_linear_731,28.721169699999997,249687.87684959784
matmul,linear,"[(1536, 384), (384, 1792)]",78264,matmul_linear_732,34.1261426,229237.37609125502
matmul,linear,"[(1664, 384), (384, 1792)]",84786,matmul_linear_733,35.7592676,237002.17152210354
matmul,linear,"[(1792, 384), (384, 1792)]",91308,matmul_linear_734,36.348856999999995,251099.09547637223
matmul,linear,"[(1920, 384), (384, 1792)]",96684,matmul_linear_735,39.903142700000004,242196.70511641176
matmul,linear,"[(2048, 384), (384, 1792)]",102060,matmul_linear_736,39.8876073,255768.94503947848
matmul,linear,"[(128, 384), (384, 1920)]",6906,matmul_linear_737,6.4211338,107451.09946470826
matmul,linear,"[(256, 384), (384, 1920)]",13812,matmul_linear_738,8.908892999999999,154936.097077381
matmul,linear,"[(384, 384), (384, 1920)]",20718,matmul_linear_739,11.434018,181096.14644650725
matmul,linear,"[(512, 384), (384, 1920)]",27624,matmul_linear_740,13.7981606,200100.59775213807
matmul,linear,"[(640, 384), (384, 1920)]",34530,matmul_linear_741,20.073991099999997,171913.62612938494
matmul,linear,"[(768, 384), (384, 1920)]",41436,matmul_linear_742,21.776009,190182.8015914211
matmul,linear,"[(896, 384), (384, 1920)]",48342,matmul_linear_743,23.727009000000002,203642.49447117414
matmul,linear,"[(1024, 384), (384, 1920)]",55248,matmul_linear_744,25.4243035,217203.88799048122
matmul,linear,"[(1152, 384), (384, 1920)]",62154,matmul_linear_745,31.481731899999993,197328.78249973286
matmul,linear,"[(1280, 384), (384, 1920)]",69060,matmul_linear_746,33.4631518,206276.25652464695
matmul,linear,"[(1408, 384), (384, 1920)]",75966,matmul_linear_747,39.622740900000004,191623.2333616779
matmul,linear,"[(1536, 384), (384, 1920)]",82872,matmul_linear_748,36.5806785,226445.8252776804
matmul,linear,"[(1664, 384), (384, 1920)]",89778,matmul_linear_749,42.9890001,208739.47007643938
matmul,linear,"[(1792, 384), (384, 1920)]",96684,matmul_linear_750,44.6252946,216557.39322648643
matmul,linear,"[(1920, 384), (384, 1920)]",103590,matmul_linear_751,44.22858960000001,234115.02005119328
matmul,linear,"[(2048, 384), (384, 1920)]",109350,matmul_linear_752,43.9805715,248532.51265391128
matmul,linear,"[(128, 384), (384, 2048)]",7290,matmul_linear_753,6.475562399999999,112477.09446209646
matmul,linear,"[(256, 384), (384, 2048)]",14580,matmul_linear_754,8.9678571,162480.64593825876
matmul,linear,"[(384, 384), (384, 2048)]",21870,matmul_linear_755,11.432883799999999,191190.31994534924
matmul,linear,"[(512, 384), (384, 2048)]",29160,matmul_linear_756,13.9712858,208613.78924908972
matmul,linear,"[(640, 384), (384, 2048)]",36450,matmul_linear_757,19.8016875,183975.22086185837
matmul,linear,"[(768, 384), (384, 2048)]",43740,matmul_linear_758,22.899973,190904.5920141478
matmul,linear,"[(896, 384), (384, 2048)]",51030,matmul_linear_759,25.989455300000003,196248.86307140108
matmul,linear,"[(1024, 384), (384, 2048)]",58320,matmul_linear_760,29.097276900000004,200331.1269416417
matmul,linear,"[(1152, 384), (384, 2048)]",65610,matmul_linear_761,32.2711609,203208.4592255868
matmul,linear,"[(1280, 384), (384, 2048)]",72900,matmul_linear_762,35.42312489999999,205697.76687064674
matmul,linear,"[(1408, 384), (384, 2048)]",80190,matmul_linear_763,38.5645713,207836.96726508148
matmul,linear,"[(1536, 384), (384, 2048)]",87480,matmul_linear_764,41.6801696,209783.982813736
matmul,linear,"[(1664, 384), (384, 2048)]",94770,matmul_linear_765,44.781276899999995,211528.62374743944
matmul,linear,"[(1792, 384), (384, 2048)]",102060,matmul_linear_766,47.9243125,212860.80147211291
matmul,linear,"[(1920, 384), (384, 2048)]",109350,matmul_linear_767,51.0445534,214124.61891889133
matmul,linear,"[(2048, 384), (384, 2048)]",116640,matmul_linear_768,44.296018100000005,263219.3794906816
matmul,linear,"[(128, 512), (512, 128)]",2040,matmul_linear_769,2.2627230999999997,90056.85569303643
matmul,linear,"[(256, 512), (512, 128)]",2552,matmul_linear_770,2.4268039000000003,105058.88819858908
matmul,linear,"[(384, 512), (512, 128)]",3064,matmul_linear_771,2.8788482,106331.45407944746
matmul,linear,"[(512, 512), (512, 128)]",3576,matmul_linear_772,3.1627144,112967.43346790972
matmul,linear,"[(640, 512), (512, 128)]",4088,matmul_linear_773,3.4733305999999997,117596.82966545138
matmul,linear,"[(768, 512), (512, 128)]",4600,matmul_linear_774,3.9271428999999998,117033.50181374862
matmul,linear,"[(896, 512), (512, 128)]",5112,matmul_linear_775,4.2273127,120827.8887743507
matmul,linear,"[(1024, 512), (512, 128)]",5624,matmul_linear_776,4.5962855000000005,122259.67500278214
matmul,linear,"[(1152, 512), (512, 128)]",6136,matmul_linear_777,5.0571252,121233.75697323056
matmul,linear,"[(1280, 512), (512, 128)]",6648,matmul_linear_778,5.4144108,122683.44302947978
matmul,linear,"[(1408, 512), (512, 128)]",7160,matmul_linear_779,5.6972413,125574.85951490242
matmul,linear,"[(1536, 512), (512, 128)]",7672,matmul_linear_780,6.120285699999999,125253.62524007664
matmul,linear,"[(1664, 512), (512, 128)]",8184,matmul_linear_781,6.7958306,120326.78050273942
matmul,linear,"[(1792, 512), (512, 128)]",8696,matmul_linear_782,7.215133799999999,120424.44543717263
matmul,linear,"[(1920, 512), (512, 128)]",9208,matmul_linear_783,7.5858571999999995,121283.77716891376
matmul,linear,"[(2048, 512), (512, 128)]",9720,matmul_linear_784,7.844866099999999,123802.68840917501
matmul,linear,"[(128, 512), (512, 256)]",2552,matmul_linear_785,2.0760089,122828.182051628
matmul,linear,"[(256, 512), (512, 256)]",5104,matmul_linear_786,3.1004464,164521.45580068728
matmul,linear,"[(384, 512), (512, 256)]",6128,matmul_linear_787,3.8798661,157843.59501220932
matmul,linear,"[(512, 512), (512, 256)]",7152,matmul_linear_788,4.6411606,153999.38626127265
matmul,linear,"[(640, 512), (512, 256)]",8176,matmul_linear_789,5.372759,152075.07429609256
matmul,linear,"[(768, 512), (512, 256)]",9200,matmul_linear_790,6.1010266,150694.29419304617
matmul,linear,"[(896, 512), (512, 256)]",10224,matmul_linear_791,7.088249899999999,144138.7069338512
matmul,linear,"[(1024, 512), (512, 256)]",11248,matmul_linear_792,7.835884,143444.74874819483
matmul,linear,"[(1152, 512), (512, 256)]",12272,matmul_linear_793,8.4828303,144568.6962487037
matmul,linear,"[(1280, 512), (512, 256)]",13296,matmul_linear_794,9.2203037,144103.49299340323
matmul,linear,"[(1408, 512), (512, 256)]",14320,matmul_linear_795,9.9175713,144290.18956183354
matmul,linear,"[(1536, 512), (512, 256)]",15344,matmul_linear_796,10.5509643,145327.465809926
matmul,linear,"[(1664, 512), (512, 256)]",16368,matmul_linear_797,11.2794553,145013.39036025968
matmul,linear,"[(1792, 512), (512, 256)]",17392,matmul_linear_798,11.983705400000002,145030.4034893915
matmul,linear,"[(1920, 512), (512, 256)]",18416,matmul_linear_799,12.7171519,144712.2987349078
matmul,linear,"[(2048, 512), (512, 256)]",19440,matmul_linear_800,13.4047947,144922.73578274198
matmul,linear,"[(128, 512), (512, 384)]",3064,matmul_linear_801,2.5855622999999994,118404.20312827118
matmul,linear,"[(256, 512), (512, 384)]",6128,matmul_linear_802,3.3644197,182041.36601328306
matmul,linear,"[(384, 512), (512, 384)]",9192,matmul_linear_803,4.971142599999999,184807.18813819587
matmul,linear,"[(512, 512), (512, 384)]",10728,matmul_linear_804,5.603866099999999,191339.26368975875
matmul,linear,"[(640, 512), (512, 384)]",12264,matmul_linear_805,7.4484464,164551.78563948584
matmul,linear,"[(768, 512), (512, 384)]",13800,matmul_linear_806,7.854580099999998,175593.66948081672
matmul,linear,"[(896, 512), (512, 384)]",15336,matmul_linear_807,8.444714199999998,181504.72500064006
matmul,linear,"[(1024, 512), (512, 384)]",16872,matmul_linear_808,9.0322949,186696.38106147308
matmul,linear,"[(1152, 512), (512, 384)]",18408,matmul_linear_809,9.5531339,192590.69388842123
matmul,linear,"[(1280, 512), (512, 384)]",19944,matmul_linear_810,10.1048748,197270.08517908605
matmul,linear,"[(1408, 512), (512, 384)]",21480,matmul_linear_811,10.685982,200911.00675632808
matmul,linear,"[(1536, 512), (512, 384)]",23016,matmul_linear_812,11.2447141,204582.83849030896
matmul,linear,"[(1664, 512), (512, 384)]",24552,matmul_linear_813,11.758866200000002,208695.64051847102
matmul,linear,"[(1792, 512), (512, 384)]",26088,matmul_linear_814,12.2842769,212269.03248248986
matmul,linear,"[(1920, 512), (512, 384)]",27624,matmul_linear_815,14.0721427,196202.72794206388
matmul,linear,"[(2048, 512), (512, 384)]",29160,matmul_linear_816,14.768437800000001,197348.10111195376
matmul,linear,"[(128, 512), (512, 512)]",3576,matmul_linear_817,2.6675625,133954.96590988967
matmul,linear,"[(256, 512), (512, 512)]",7152,matmul_linear_818,4.055589299999999,176249.21760938666
matmul,linear,"[(384, 512), (512, 512)]",10728,matmul_linear_819,4.9655448,215948.80092915488
matmul,linear,"[(512, 512), (512, 512)]",14304,matmul_linear_820,6.955410799999998,205552.84224477445
matmul,linear,"[(640, 512), (512, 512)]",16352,matmul_linear_821,7.858732199999999,207974.2743721437
matmul,linear,"[(768, 512), (512, 512)]",18400,matmul_linear_822,8.7165624,210992.39119311527
matmul,linear,"[(896, 512), (512, 512)]",20448,matmul_linear_823,9.590464200000001,213111.78593211365
matmul,linear,"[(1024, 512), (512, 512)]",22496,matmul_linear_824,10.5164018,213813.46990945135
matmul,linear,"[(1152, 512), (512, 512)]",24544,matmul_linear_825,11.3424106,216291.3903804541
matmul,linear,"[(1280, 512), (512, 512)]",26592,matmul_linear_826,12.2324107,217289.69245040143
matmul,linear,"[(1408, 512), (512, 512)]",28640,matmul_linear_827,14.040115899999998,203886.92007948455
matmul,linear,"[(1536, 512), (512, 512)]",30688,matmul_linear_828,14.813312400000001,207065.00922508052
matmul,linear,"[(1664, 512), (512, 512)]",32736,matmul_linear_829,15.798973100000001,207103.34032342897
matmul,linear,"[(1792, 512), (512, 512)]",34784,matmul_linear_830,16.6013037,209425.7133329836
matmul,linear,"[(1920, 512), (512, 512)]",36832,matmul_linear_831,17.3964464,211621.40075688102
matmul,linear,"[(2048, 512), (512, 512)]",38880,matmul_linear_832,18.3651518,211605.30155922807
matmul,linear,"[(128, 512), (512, 640)]",4088,matmul_linear_833,3.8325893,106564.18131470543
matmul,linear,"[(256, 512), (512, 640)]",8176,matmul_linear_834,4.8095716,169894.3504323753
matmul,linear,"[(384, 512), (512, 640)]",12264,matmul_linear_835,5.695696400000001,215220.46546582077
matmul,linear,"[(512, 512), (512, 640)]",16352,matmul_linear_836,6.709124699999999,243627.76973425463
matmul,linear,"[(640, 512), (512, 640)]",20440,matmul_linear_837,9.759750200000001,209331.5897552378
matmul,linear,"[(768, 512), (512, 640)]",23000,matmul_linear_838,11.616571099999998,197893.02050499225
matmul,linear,"[(896, 512), (512, 640)]",25560,matmul_linear_839,12.329991,207199.42138643897
matmul,linear,"[(1024, 512), (512, 640)]",28120,matmul_linear_840,13.095268,214634.05508004877
matmul,linear,"[(1152, 512), (512, 640)]",30680,matmul_linear_841,16.0741339,190765.64906616835
matmul,linear,"[(1280, 512), (512, 640)]",33240,matmul_linear_842,14.7252769,225634.29502028585
matmul,linear,"[(1408, 512), (512, 640)]",35800,matmul_linear_843,15.393741199999997,232462.04930871518
matmul,linear,"[(1536, 512), (512, 640)]",38360,matmul_linear_844,18.2075626,210581.68674043167
matmul,linear,"[(1664, 512), (512, 640)]",40920,matmul_linear_845,19.1297322,213807.85596047182
matmul,linear,"[(1792, 512), (512, 640)]",43480,matmul_linear_846,21.993866,197591.48361638648
matmul,linear,"[(1920, 512), (512, 640)]",46040,matmul_linear_847,20.3874018,225725.73518514755
matmul,linear,"[(2048, 512), (512, 640)]",48600,matmul_linear_848,23.2757322,208701.16501770026
matmul,linear,"[(128, 512), (512, 768)]",4600,matmul_linear_849,3.3975357,135292.2491528198
matmul,linear,"[(256, 512), (512, 768)]",9200,matmul_linear_850,5.500857099999999,167146.66416075418
matmul,linear,"[(384, 512), (512, 768)]",13800,matmul_linear_851,6.6942947,206045.69000077035
matmul,linear,"[(512, 512), (512, 768)]",18400,matmul_linear_852,7.7339644,237811.6200741757
matmul,linear,"[(640, 512), (512, 768)]",23000,matmul_linear_853,8.7589912,262487.31713305064
matmul,linear,"[(768, 512), (512, 768)]",27600,matmul_linear_854,11.1326875,247818.57312082103
matmul,linear,"[(896, 512), (512, 768)]",30672,matmul_linear_855,12.2364553,250560.8265875821
matmul,linear,"[(1024, 512), (512, 768)]",33744,matmul_linear_856,14.7098661,229297.05752997985
matmul,linear,"[(1152, 512), (512, 768)]",36816,matmul_linear_857,15.5927142,236010.27257845848
matmul,linear,"[(1280, 512), (512, 768)]",39888,matmul_linear_858,16.8925537,236027.708743054
matmul,linear,"[(1408, 512), (512, 768)]",42960,matmul_linear_859,17.861169500000003,240421.764266332
matmul,linear,"[(1536, 512), (512, 768)]",46032,matmul_linear_860,18.8887143,243601.07604412228
matmul,linear,"[(1664, 512), (512, 768)]",49104,matmul_linear_861,21.1541428,232024.74485139624
matmul,linear,"[(1792, 512), (512, 768)]",52176,matmul_linear_862,22.222821200000002,234685.67158700802
matmul,linear,"[(1920, 512), (512, 768)]",55248,matmul_linear_863,23.3205983,236806.44334798222
matmul,linear,"[(2048, 512), (512, 768)]",58320,matmul_linear_864,24.3322855,239581.55395842282
matmul,linear,"[(128, 512), (512, 896)]",5112,matmul_linear_865,4.1644554,122653.14558537475
matmul,linear,"[(256, 512), (512, 896)]",10224,matmul_linear_866,6.2227321,164200.82214209417
matmul,linear,"[(384, 512), (512, 896)]",15336,matmul_linear_867,7.4113037,206827.1564191871
matmul,linear,"[(512, 512), (512, 896)]",20448,matmul_linear_868,8.6627321,235945.62352793987
matmul,linear,"[(640, 512), (512, 896)]",25560,matmul_linear_869,12.3243035,207295.08727612882
matmul,linear,"[(768, 512), (512, 896)]",30672,matmul_linear_870,13.3544286,229576.6182867607
matmul,linear,"[(896, 512), (512, 896)]",35784,matmul_linear_871,16.5091605,216652.3902865927
matmul,linear,"[(1024, 512), (512, 896)]",39368,matmul_linear_872,17.626000400000002,223251.86149207165
matmul,linear,"[(1152, 512), (512, 896)]",42952,matmul_linear_873,21.1145713,203323.50024411813
matmul,linear,"[(1280, 512), (512, 896)]",46536,matmul_linear_874,22.2583038,208972.53498804342
matmul,linear,"[(1408, 512), (512, 896)]",50120,matmul_linear_875,26.1844375,191311.4061071581
matmul,linear,"[(1536, 512), (512, 896)]",53704,matmul_linear_876,24.026169700000004,223422.93632555165
matmul,linear,"[(1664, 512), (512, 896)]",57288,matmul_linear_877,27.984142900000002,204615.93575231492
matmul,linear,"[(1792, 512), (512, 896)]",60872,matmul_linear_878,28.8582678,210834.35136810254
matmul,linear,"[(1920, 512), (512, 896)]",64456,matmul_linear_879,29.797294799999996,216214.93876417266
matmul,linear,"[(2048, 512), (512, 896)]",68040,matmul_linear_880,30.785142999999998,220915.7022821041
matmul,linear,"[(128, 512), (512, 1024)]",5624,matmul_linear_881,4.077589399999999,137824.627722448
matmul,linear,"[(256, 512), (512, 1024)]",11248,matmul_linear_882,7.157553700000001,157048.66379556464
matmul,linear,"[(384, 512), (512, 1024)]",16872,matmul_linear_883,9.158687599999999,184118.53366851385
matmul,linear,"[(512, 512), (512, 1024)]",22496,matmul_linear_884,11.245839100000001,199938.43021371344
matmul,linear,"[(640, 512), (512, 1024)]",28120,matmul_linear_885,13.3265537,210907.29140497893
matmul,linear,"[(768, 512), (512, 1024)]",33744,matmul_linear_886,15.0161247,224618.43217977538
matmul,linear,"[(896, 512), (512, 1024)]",39368,matmul_linear_887,16.167303599999997,243403.80851387
matmul,linear,"[(1024, 512), (512, 1024)]",44992,matmul_linear_888,17.9352947,250757.3221269679
matmul,linear,"[(1152, 512), (512, 1024)]",49088,matmul_linear_889,19.1470358,256273.8873878326
matmul,linear,"[(1280, 512), (512, 1024)]",53184,matmul_linear_890,22.1347053,240174.262878937
